partNumber,id,length,width,midLength,height,midHeight,holeSize1,holePosition1,holeDepth1,holeSize2,holePosition2,holeDepth2
1,1,6.104,4.11,3.961,3.011,1.063,1.162,1.074,0.7424,0.8911,3.249,0.7288
1,2,6.08,4.028,3.968,2.975,1.076,1.174,0.9439,0.7367,0.9924,2.912,0.7775
1,3,6.105,3.87,4.036,2.899,1.049,1.053,1.288,0.7942,0.9917,3.11,0.7277
1,4,6.027,3.961,3.916,2.942,1.067,0.9822,1.153,0.7034,0.8836,2.99,0.7231
1,5,5.902,4.024,4.071,2.973,1.052,1.001,0.9635,0.7942,0.9106,3.018,0.8094
1,6,6.1,3.972,3.942,2.942,0.9329,0.9816,0.971,0.7315,0.9878,3.184,0.679
1,7,6.018,3.938,3.948,2.865,1.038,1.116,0.8726,0.8204,0.999,2.968,0.7184
1,8,5.853,4.071,4.187,2.976,1.084,0.8875,0.9724,0.7702,1.11,3.046,0.6976
1,9,5.995,4.078,3.947,2.917,1.095,1.041,0.8931,0.7586,1.011,2.948,0.7941
1,10,5.778,3.682,4.109,3.024,1.086,0.9482,1.023,0.7232,0.9038,2.888,0.7241
1,11,6.017,4.1,3.805,2.995,0.9352,1.122,1.018,0.8474,1.023,2.789,0.7658
1,12,6.149,4.053,4.07,3.097,0.9953,1.202,1.003,0.735,0.8272,3.013,0.7996
1,13,5.756,3.919,4.072,2.991,1.02,1.128,0.9874,0.6439,1.063,2.918,0.7148
1,14,5.846,4.087,3.927,3.006,0.8601,0.9625,0.8651,0.7591,1.11,3.086,0.7631
1,15,5.97,4.108,4.021,2.667,1.051,0.8832,1.138,0.7708,0.9871,2.956,0.7104
1,16,6.179,3.994,3.905,3.037,0.9714,1.039,0.9138,0.6938,0.8468,2.977,0.7743
1,17,6.16,3.977,4.038,2.902,1.079,0.9602,1.202,0.765,0.9483,3.061,0.6829
1,18,5.951,4.133,3.89,3.058,1.07,0.8675,1.036,0.7289,0.8716,3.212,0.7562
1,19,6.057,4.043,4.14,2.998,0.8358,0.9922,0.7927,0.723,0.7893,2.837,0.7956
1,20,6.048,4.182,3.897,3.008,0.8898,1.067,1.076,0.7225,1.089,2.945,0.8116
1,21,5.921,3.984,4.089,3.102,0.9096,0.9555,1.016,0.7904,1.304,2.932,0.7431
1,22,6.2,4.061,3.954,3.019,0.9096,0.9578,1.017,0.7746,0.9477,3.166,0.772
1,23,5.818,4.136,4.066,2.942,1.056,0.9991,0.922,0.7706,1.017,2.882,0.7456
1,24,6.053,3.77,4.016,3.079,1.011,0.8983,0.8883,0.74,1.016,2.93,0.64
1,25,5.831,3.698,4.057,3.172,1.008,1.021,1.073,0.7423,0.9236,2.965,0.8105
1,26,6.156,3.95,4.183,2.855,1.102,0.9704,1.052,0.7352,0.9868,3.027,0.7055
1,27,6.101,4.053,3.829,2.992,0.9561,0.8604,0.9186,0.7601,0.9496,3.009,0.7104
1,28,5.957,3.87,3.861,3.269,0.8841,0.994,0.8983,0.6759,1.048,2.957,0.7291
1,29,6.131,4.078,3.989,2.97,1.036,0.9098,0.9835,0.755,0.8624,2.878,0.7426
1,30,6.045,4.011,4.016,3.12,0.8277,1.062,0.9259,0.7376,0.819,3.027,0.827
1,31,5.908,4.073,3.975,2.974,0.9594,1.044,1.027,0.7359,0.8876,2.919,0.708
1,32,6.047,3.907,3.955,3.099,0.9124,1.092,1.062,0.6994,1.032,2.867,0.7105
1,33,6.013,4.118,4.149,3.008,0.8832,0.8626,0.9295,0.8157,0.9187,2.942,0.8158
1,34,5.987,4.133,4.063,2.947,1.021,1.082,1.137,0.82,1.064,2.986,0.7794
1,35,5.974,4.123,3.899,3.002,1.039,0.929,0.747,0.7369,1.082,3.181,0.741
1,36,5.953,4.034,3.875,2.826,1.022,0.9779,1.014,0.7783,0.842,2.94,0.7432
1,37,6.093,3.9,4.189,3.043,0.9752,0.8384,0.9338,0.7506,1.137,2.946,0.7447
1,38,6.184,4.044,3.977,3.004,0.9127,0.8092,0.918,0.705,0.9984,3.06,0.6937
1,39,6.104,4.024,3.938,2.946,1.057,0.985,0.9625,0.805,0.8928,3.052,0.8182
1,40,5.987,4.183,4.013,3.097,0.9177,0.8358,0.9861,0.7258,1.148,3.013,0.7479
1,41,6.025,3.923,3.814,3.196,0.8998,1.259,1.18,0.7142,0.8739,3.085,0.7721
1,42,5.97,3.94,3.978,2.982,0.9833,0.8217,1.055,0.7481,0.991,3.046,0.8217
1,43,6.132,3.987,3.865,3.072,0.8805,0.9365,1.062,0.7781,0.9435,2.937,0.6945
1,44,6.091,4.148,3.912,2.955,0.9428,0.9179,0.9748,0.7048,0.9701,3.038,0.7629
1,45,5.896,4.071,4.039,2.772,0.9442,0.9904,0.9568,0.7413,1.174,3.111,0.7556
1,46,5.851,4.026,3.883,2.87,1.01,0.9869,0.9275,0.6379,1.003,3.038,0.8158
1,47,5.893,4.042,3.984,2.976,0.9665,0.8828,1.037,0.6485,1.02,2.909,0.8697
1,48,6.041,3.996,3.94,2.968,0.9713,0.8705,1.155,0.638,0.963,2.89,0.7538
1,49,6.007,4.111,3.827,3.065,0.9841,0.9006,0.9558,0.734,0.9525,2.949,0.7521
1,50,6.082,4.124,4.07,3.015,0.862,0.967,1.022,0.7784,1.017,2.944,0.7234
2,1,5.933,3.999,3.791,3.051,1.012,1.135,1.098,0.7463,1.128,2.804,0.6454
2,2,5.975,3.95,4.051,2.983,0.9072,0.999,1.153,0.7303,0.7999,2.988,0.6636
2,3,6.156,4.02,4.075,3.213,0.9279,0.8904,1.015,0.7329,1.023,2.911,0.7691
2,4,5.956,3.996,3.982,3.147,0.9595,1.117,0.9001,0.6986,1.014,2.876,0.7565
2,5,6.307,3.945,3.957,2.963,0.9307,0.9382,0.9611,0.7667,1.065,2.977,0.6699
2,6,5.974,3.964,4.079,3.004,0.9695,1.124,0.9048,0.777,1.045,3.166,0.7025
2,7,6.099,4.143,3.914,3.163,0.9939,0.8422,1.137,0.7284,1.042,2.916,0.7954
2,8,6.004,3.962,4.079,2.979,0.8429,1.001,1.015,0.7904,1.006,2.916,0.7353
2,9,6.066,3.861,4.004,2.881,1.179,0.9983,1.005,0.699,1.077,2.935,0.7987
2,10,5.931,3.989,4.059,2.893,1.115,0.9822,1.026,0.7194,0.893,3.046,0.7811
2,11,6.082,4.027,4.082,3.125,0.9978,1.058,0.9394,0.7094,0.993,3.181,0.7313
2,12,6.031,3.926,4.155,3.1,0.8728,0.8159,1.042,0.8011,1.002,2.886,0.7519
2,13,6.101,4.106,3.967,3.24,0.9587,0.9395,1.081,0.7899,1.017,3.119,0.7711
2,14,6.009,4.013,3.991,2.976,1.089,0.9326,1.093,0.7324,1.229,2.89,0.7383
2,15,6.064,3.995,4.069,2.975,1,0.8383,0.8211,0.7602,0.9175,3.044,0.7084
2,16,5.888,3.963,4.05,3.266,0.9443,0.9942,1.007,0.7315,0.9768,2.959,0.6856
2,17,6.054,3.904,4.055,2.909,0.9701,0.9531,1.002,0.7792,0.824,3.245,0.8153
2,18,5.93,3.926,4,3.08,1.158,1.143,1.133,0.7054,1.073,2.873,0.7707
2,19,6.095,4.136,3.883,3.208,1.089,0.886,0.9375,0.811,0.7835,2.852,0.765
2,20,5.947,4.126,4.086,3.079,1.093,1.106,1.138,0.7148,1.085,3.038,0.7155
2,21,6.074,4.071,3.968,3.148,1.098,1.128,0.989,0.837,0.9957,3.03,0.7321
2,22,6.169,3.989,4.027,2.976,0.8905,1.052,0.9074,0.6922,0.9173,2.876,0.7509
2,23,5.978,3.991,4.055,2.906,0.8268,1.045,0.991,0.8064,0.9087,3.102,0.7247
2,24,5.964,3.897,4.16,3.179,1.054,0.9518,0.9269,0.6844,1.14,3.14,0.7409
2,25,5.999,3.999,3.976,3.104,1.156,0.958,1.091,0.8051,0.9756,2.926,0.6554
2,26,5.949,4.081,3.963,2.898,0.9718,1.202,0.9771,0.6396,0.9469,3.082,0.6985
2,27,5.906,3.934,4.062,3.087,0.8749,1.01,0.9228,0.7398,1.134,3.164,0.7995
2,28,5.979,3.887,4.201,3.069,0.857,1.07,0.9024,0.8034,1.128,2.843,0.7548
2,29,6.026,4.217,3.904,2.989,0.8795,0.9571,0.9959,0.8376,1.08,3.012,0.7464
2,30,5.871,4.252,3.965,3.024,1.019,0.7998,0.8821,0.7834,1.06,2.93,0.8368
2,31,6.001,3.991,4.144,3.151,1.023,1.12,1.087,0.829,0.9845,2.978,0.6254
2,32,5.959,4.052,4.1,3.05,1.061,1.16,0.8973,0.7446,0.8761,3.01,0.7849
2,33,6.066,3.902,4.035,3.042,0.9664,0.8797,0.844,0.7635,0.8723,2.886,0.7709
2,34,6.058,3.875,4.076,3.163,0.9653,0.9509,1.011,0.7793,0.8196,2.952,0.6988
2,35,6.006,3.968,4.083,2.889,1.099,1.1,0.9964,0.7651,1.104,3.042,0.7178
2,36,5.962,4.019,4.143,3.005,0.9721,0.985,0.9069,0.8195,1.116,2.852,0.7265
2,37,5.983,4.119,3.898,2.966,1.275,1.211,1.215,0.7089,1.194,3.281,0.6788
2,38,5.982,4.027,4.036,3.129,1.107,1.138,0.9731,0.7373,0.9539,2.943,0.7618
2,39,5.965,4.103,3.925,3.123,1.006,0.8918,1.007,0.6979,1.072,3.076,0.7612
2,40,6.123,3.92,4.14,2.917,0.9873,0.9581,0.8918,0.7283,0.7991,3.149,0.8335
2,41,6.082,4.237,4.061,3.091,0.9797,1.143,1.036,0.7107,1.116,3.041,0.6485
